permutation,mean_null_temporal_minus_fr
1,-0.024270672112362557
2,0.05078461320887137
3,-0.0010483346335802847
4,0.010860571902806511
5,0.0021675341313776224
6,0.003771888829245432
7,0.000842377592118564
8,0.017809727492762852
9,0.015810522069189203
10,0.010429632659820694
11,-0.010016060221608482
12,0.014526086845059107
13,0.010562764971228841
14,0.0035126375168515554
15,0.005284665550419948
16,-0.010104682516035803
17,0.015022200646685897
18,0.02078278637307161
19,0.03449921695921994
20,-0.003726187600056466
21,-0.00403120071125849
22,0.00829943457168899
23,0.027452302587079577
24,0.00796657686583027
25,0.025234557767328948
26,0.020678368048777897
27,-0.0007912322539224983
28,0.019809526405565204
29,0.009586328534956026
30,0.018669083713553362
31,0.012357976164837914
32,0.009557741102876997
33,-0.0076518036040410355
34,-0.0007235438960017621
35,0.008620650911135294
36,0.025582213150010788
37,0.00019481202730064283
38,-0.00013236813227460428
39,-0.014798420233818933
40,0.011980779839589078
41,-0.008154064450978547
42,0.009030769036416262
43,0.02152817849877889
44,0.007166404112843963
45,0.009169812404116616
46,-0.0030552348184496353
47,0.01175614106223588
48,0.010291930655341898
49,0.007831188044851027
50,0.024735793906708048
51,0.018901670382201762
52,-0.022759176227847986
53,0.0033274484383942456
54,0.02882123316208588
55,0.01307915912869061
56,0.005283685747474412
57,0.011172921355466084
58,0.010431582386620633
59,-0.003887277585886749
60,0.01221089106553198
61,0.012036820793147728
62,0.011311522815742171
63,0.00251574903945756
64,-0.0045022638738349404
65,0.015927991263156586
66,0.025784117910453774
67,0.010649640078698328
68,0.014154508956213056
69,0.018744993282544874
70,0.012363467799788037
71,0.0021716621714418
72,0.015180428047090383
73,-0.0033226747447247518
74,-0.0031897987444841095
75,0.019656641200565362
76,0.010714912547752583
77,0.010198615042613483
78,0.010457895263647949
79,-0.01761352370191472
80,0.011767174201952214
81,-0.0007634943716039632
82,0.026512116926565375
83,0.017725096729067902
84,-0.025975244720960397
85,0.022843028209351416
86,0.0120157505948903
87,0.019353083875571577
88,0.017355633839820393
89,0.0055419265855406715
90,0.01920607183737689
91,0.011727222007393385
92,0.025247394304771898
93,0.0019718988374643146
94,0.009527030584815542
95,-0.010931852114917037
96,0.0028385865234439576
97,0.008706590219901349
98,0.005677450001681442
99,0.006450995852908104
100,0.0005296506107931083
