subject,neuron,region,best_bin_ms,best_gamma,n_presentations,saved_temporal_accuracy,recomputed_temporal_accuracy,accuracy_difference_check,old_200perm_p,n_permutations,n_perm_equal_or_better,highres_permutation_p,permutation_null_mean,permutation_null_sd,permutation_null_95th
YFF,8,ENT,60,0.5,109,0.146788990825688,0.146788990825688,8.326672684688674e-17,0.2885572139303483,5000,963,0.1927614477104579,0.1119266055045871,0.0352720453714551,0.1743119266055046
YFF,9,HPC,90,0.2,109,0.1834862385321101,0.1834862385321101,0.0,0.044776119402985,5000,180,0.0361927614477104,0.1114623853211009,0.0351719945394759,0.1743119266055046
YFF,10,HPC,75,0.5,109,0.128440366972477,0.128440366972477,8.326672684688674e-17,0.3184079601990049,5000,1722,0.3445310937812437,0.1116550458715596,0.0340989893955907,0.165596330275231
YFF,11,HPC,450,0.2,109,0.1559633027522936,0.1559633027522936,0.0,0.1243781094527363,5000,553,0.1107778444311137,0.1077724770642201,0.0341092684772982,0.1651376146788991
YFF,12,HPC,900,0.2,109,0.1743119266055046,0.1743119266055046,0.0,0.0348258706467661,5000,190,0.0381923615276944,0.1071027522935779,0.0334573386198099,0.1651376146788991
YFF,13,HPC,75,0.5,109,0.1834862385321101,0.1834862385321101,0.0,0.044776119402985,5000,166,0.0333933213357328,0.1122954128440367,0.0344046686378831,0.1743119266055046
YFF,14,HPC,225,0.5,109,0.1376146788990825,0.1376146788990825,8.326672684688674e-17,0.2288557213930348,5000,1126,0.2253549290141971,0.1077376146788991,0.0346478296356316,0.1651376146788991
YFF,15,HPC,60,0.2,109,0.128440366972477,0.128440366972477,8.326672684688674e-17,0.3383084577114428,5000,1734,0.3469306138772245,0.112045871559633,0.0346493780187278,0.1743119266055046
YFF,16,HPC,900,0.2,109,0.1651376146788991,0.1651376146788991,0.0,0.0746268656716417,5000,304,0.0609878024395121,0.1061577981651376,0.0334976691303523,0.1651376146788991
YFF,26,HPC,90,0.8,109,0.1376146788990825,0.13761467889908258,8.326672684688674e-17,0.2189054726368159,5000,1252,0.2505498900219956,0.11128256880733946,0.03406043908689943,0.1743119266055046
